[2020-10-30 10:36:36.592] [brainflow_logger] [info] incoming json: {"file":"","ip_address":"","ip_port":0,"ip_protocol":0,"mac_address":"","other_info":"","serial_number":"","serial_port":"","timeout":0}
[2020-10-30 10:42:49.579] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:42:54.579] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:42:59.579] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:04.580] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:09.581] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:14.581] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:19.582] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:24.583] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:29.583] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:34.584] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:39.584] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:44.584] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:49.597] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:54.597] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:43:59.598] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:04.599] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:09.599] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:14.599] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:19.599] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:24.599] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:29.600] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:34.601] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:39.601] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:44.602] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:49.602] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:54.603] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:44:59.603] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:04.604] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:09.604] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:14.605] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:19.605] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:24.606] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:29.606] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:34.607] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:39.607] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:44.608] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:49.608] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:54.609] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:45:59.610] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:04.611] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:09.612] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:14.612] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:19.612] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:24.613] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:29.613] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:34.614] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:39.614] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:44.615] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:49.616] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:54.616] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:46:59.616] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:04.617] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:09.617] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:14.617] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:19.618] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:24.618] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:29.618] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:34.618] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:39.619] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:44.620] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:49.620] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:54.621] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:47:59.621] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:04.622] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:09.623] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:14.623] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:19.624] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:24.624] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:29.624] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:34.625] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:39.626] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:44.627] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:49.627] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:54.628] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:48:59.628] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:04.628] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:09.628] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:14.628] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:19.629] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:24.629] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:29.629] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:34.630] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:39.630] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:44.630] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:49.630] [brainflow_logger] [error] WSAGetLastError is 10060
[2020-10-30 10:49:52.787] [brainflow_logger] [trace] stop stream
[2020-10-30 10:49:54.631] [brainflow_logger] [error] WSAGetLastError is 10060
